"year","AW","AG","AE","AF","DZ","AZ","AL","AM","AD","AO","AS","AR","AU","AT","AI","BH","BB","BW","BM","BE","BS","BD","BZ","BA","BO","MM","BJ","BY","SB","BR","BT","BG","BN","BI","CA","KH","TD","LK","CG","CD","CN","CL","KY","CM","KM","CO","MP","CR","CF","CU","CV","CK","CY","DK","DJ","DM","DO","EC","EG","IE","GQ","EE","ER","SV","ET","CZ","FI","FJ","FM","FO","PF","FR","GM","GA","GE","GH","GI","GD","GG","GL","DE","GU","GR","GT","GN","GY","PS","HT","HK","HN","HR","HU","IS","ID","IM","IN","IR","IL","IT","CI","IQ","JP","JE","JM","JO","KE","KG","KP","KI","KR","KW","NA","KZ","LA","LB","LV","LT","LR","SK","LI","LS","LU","LY","MG","MO","MD","MN","MS","MW","ME","MK","ML","MC","MA","MU","MR","MT","OM","MV","MX","MY","MZ","NC","NE","VU","NG","NL","SX","NO","NP","NR","SR","NI","NZ","PY","PE","PK","PL","PA","PT","PG","PW","GW","QA","RS","MH","MF","RO","PH","PR","RU","RW","SA","PM","KN","SC","ZA","SN","SH","SI","SL","SM","SG","SO","ES","LC","SD","SE","SY","CH","BL","TT","TH","TJ","TC","TO","TG","ST","TN","TL","TR","TV","TW","TM","TZ","CW","UG","GB","UA","US","BF","UY","UZ","VC","VE","VG","VN","VI","NA.1","WF","EH","WS","SZ","YE","ZM","ZW"
1976,59137,68361,598023,14501369,16634618,5789818,2454824,2892704,28500,6157498,30272,26531280,13915500,7565525,6350,273661,248023,741273,54018,9811000,193257,77821374,138135,4033000,4955744,30904511,3080268,9405544,199500,109890962,386566,8755037,161626,3749077,23517500,7229762,4234743,14013106,1494470,25740503,932588727,10378405,14028,7721125,284309,24637685,15316,2048557,2112017,9420906,282747,18127,614927,5072596,236768,74204,5175585,7072687,37736990,3227800,190808,1442204,2469199,4176875,33824835,10105143,4725664,585000,68263,41393,136300,54203213,581984,687762,4930036,10325541,29338,95555,53630,49692,78298957,102478,9167190,6051261,4100005,763718,1228388,5076517,4518000,2954566,4286311,10588729,220133,138125988,60687,632122746,34475327,3423635,55838536,7334543,11493995,112774841,72900,2133388,1869657,13951436,3366925,16294478,54075,35860000,1071549,1399558,14304436,3175524,2720977,2476760,3333542,1659860,4778540,23514,1222874,360750,2663767,7807400,251775,3885894,1487150,12051,5530771,554552,1706445,6365926,25406,18042963,897811,1430069,329354,963942,136604,62219964,12386715,10769649,134500,5547894,102800,66399262,13781093,10918,4026152,13433498,7200,352377,2472954,3153550,2914396,15573199,78152686,34299428,1791550,9621970,2567557,12931,732707,175770,7462259,27224,6530,21445698,45574350,3026125,135269263,4502352,7625716,5896,44534,60676,26467896,5100499,6148,1734454,3088374,20127,2293300,4238645,35996780,114896,13097814,8222310,7659103,6333313,2600,1021480,43221022,3553782,6651,90200,2333130,84176,5859294,652698,41471745,6471,16450056,2594288,16625711,149399,11012722,56206000,49233524,217563000,5764606,2860918,14404009,93439,13082017,10626,49273016,96166,950488,9200,67828,151200,535618,8170521,4976394,6496418
1977,59172,68637,683672,14880372,17152804,5886578,2509048,2954907,29396,6436754,30839,26983828,14074100,7568430,6390,297410,249169,781472,54207,9821800,197499,80313516,140578,4086000,5079716,31494391,3168267,9457385,207278,112528142,400792,8797022,167216,3834415,23796400,6994224,4327777,14249606,1536889,26482646,946093816,10536035,14800,7962216,309007,25119134,15710,2108457,2167560,9537988,285964,18483,615358,5088419,252171,74323,5302800,7278866,38783863,3271900,192675,1453168,2512642,4285219,34617799,10161915,4738902,599339,70368,41860,138156,54424006,598855,706489,4963464,10556349,28538,94280,53555,49433,78160773,101167,9308479,6196604,4183359,758334,1261091,5182817,4583700,3055680,4318673,10637171,221823,141122668,61503,645134815,35581772,3495918,56059245,7642397,11882916,113872473,73535,2156814,1937652,14500404,3432218,16562806,54938,36436000,1140357,1430006,14454828,3208346,2756594,2491407,3361419,1705485,4827803,23927,1255193,361450,2718837,8011695,249116,3920281,1528000,11926,5702228,560073,1727797,6457634,25687,18396941,913025,1455644,332066,1012702,140721,63759976,12645951,11127868,136000,5682086,106000,68427930,13864194,11793,4043205,13722893,7300,360069,2554286,3164900,2975427,15990099,80051300,34621254,1841830,9662600,2633194,13025,745228,187806,7493541,28050,6778,21658597,46850962,3080828,136263686,4657072,8138148,5920,44380,61791,27129932,5219201,6252,1746919,3147566,20480,2325300,4354931,36439000,116916,13500356,8251648,7919098,6316424,2675,1039009,44148285,3659375,6859,90703,2401653,86796,6005061,628814,42376642,6770,16785196,2663744,17129565,149459,11272138,56179000,49453675,219760000,5891063,2878748,14808950,94577,13503563,10719,50533506,93203,977026,9200,81301,153690,551407,8403990,5110028,6642107
1978,59201,68608,778736,15269281,17685768,5986427,2563376,3014042,30321,6618702,31411,27440272,14248600,7562305,6431,322535,250145,822247,54377,9829700,201499,82812761,142937,4135000,5204622,32017578,3259760,9520280,215085,115283675,415435,8803281,173000,3929974,24036300,6769287,4424045,14511088,1580962,27315131,958835162,10685889,15332,8212692,318860,25575428,16118,2192367,2224714,9634028,289170,18650,618672,5104247,274702,74366,5431308,7489432,40020461,3314000,194597,1463533,2537978,4399428,35216317,10212894,4752528,610845,72538,42481,142083,54649382,616216,726421,4991045,10773891,28604,92535,53485,49243,78066074,101960,9429959,6345655,4268975,755889,1296061,5288765,4667500,3168347,4349242,10673300,223587,144176782,62331,658040343,36758127,3569780,56240143,7954372,12317137,114912911,74186,2179441,2006908,15079690,3496165,16830095,55713,37019000,1213584,1460464,14623619,3247736,2798478,2504508,3386988,1753463,4876017,24412,1288584,362100,2793329,8224285,248564,3947422,1571700,11728,5880645,565561,1747113,6591756,25971,18758283,929367,1483992,339786,1067675,144875,65295990,12905669,11466483,137500,5815607,109400,70490594,13947172,11198,4058671,14024053,7434,365277,2608303,3165800,3037492,16414399,82374302,34929072,1874971,9698780,2701922,13120,758113,200667,7524862,28901,7035,21831875,48171780,3117884,137245870,4818993,8722071,5943,44103,62450,27809087,5343808,6436,1759395,3208149,20820,2353600,4679501,36861034,119025,13915270,8275778,8187658,6332568,2753,1055527,45056957,3760973,7049,91199,2472385,89367,6136282,604930,43274733,7034,17111535,2733933,17647395,148343,11540373,56167000,49642987,222095000,6025544,2896507,15207113,95717,13930824,10812,51662728,95929,997913,10000,95159,155429,568340,8641036,5247987,6767223
1979,59420,68519,884040,15555612,18229932,6082087,2617679,3066726,31274,6848826,31964,27901971,14421900,7549425,6473,336070,251145,862602,54516,9837200,206150,85361165,145205,4181000,5326981,32629456,3354798,9581518,222917,118157191,430518,8811589,178899,4119789,24276900,6729212,4524409,14796646,1626730,28202122,972136875,10838422,16163,8461756,329105,26071592,16497,2259714,2285189,9710150,292635,18442,623537,5116800,298958,74238,5562270,7703577,41257718,3368200,221299,1472244,2556806,4511750,35664267,10259670,4764690,622328,74774,43045,146463,54885793,634079,722911,5018606,10970867,28870,91354,53422,49555,78081292,103941,9548258,6495749,4356939,757400,1329554,5396136,4929700,3279238,4379909,10698234,225749,147254299,63170,671259115,38104777,3653480,56367710,8270975,12768376,115890431,74852,2207245,2077386,15690251,3559457,17103555,56625,37534000,1291514,1490930,14803694,3268021,2846721,2514167,3410869,1803950,4922558,24741,1323034,363000,2924513,8453131,251368,3969989,1617200,11592,6066042,571018,1768203,6728356,26260,19125959,946640,1513703,346876,1125262,148752,66825878,13176086,11828029,138800,5952447,113399,72595690,14040749,10932,4072517,14337301,7571,362861,2687394,3164550,3101728,16848699,85219117,35256645,1917594,9724560,2772341,13215,771376,214409,7556223,29778,7303,22001388,49537371,3168446,138163680,4976288,9363537,5967,43817,63191,28505816,5474478,6948,1772854,3270506,21170,2383500,5310962,37200014,120396,14342936,8293723,8465326,6350840,2833,1073027,46003776,3862932,7254,91686,2546933,91804,6280477,581046,44165463,7366,17450136,2804142,18140566,147851,11785110,56228000,49835012,224567000,6168269,2913946,15605490,97012,14355117,10903,52668447,96183,1027780,10200,109402,157213,588277,8883381,5391149,6887132
1980,59901,68546,1000285,15044289,18806061,6198261,2671412,3115289,33584,7205814,32418,28369799,14615900,7549433,6515,347568,251966,900476,54726,9846800,209760,87937333,144416,4092000,5441298,33336420,3458062,9643706,230768,121063697,446035,8843528,185220,4298207,24593300,6888522,4522391,15055970,1674288,29010855,984736460,10998514,17082,8762486,339757,26631289,16890,2299124,2348776,9652975,296446,18010,630269,5123027,326873,73887,5696855,7920499,42634215,3401000,256009,1482196,2568741,4570410,36036457,10288726,4779535,634506,77080,43453,150896,55163167,652459,713827,5045697,11152565,28827,90164,53360,50208,78297904,106869,9642505,6649593,4447369,759352,1359954,5507700,5063100,3402468,4383000,10711122,228161,150321499,64019,684887703,39708731,3737473,56451247,8593262,13232839,116807309,75531,2228803,2162780,16330697,3631124,17390464,57536,38124000,1369769,1521405,14999603,3293159,2898696,2524543,3435289,1857103,4965958,25074,1358573,364400,3060429,8691245,255773,3996278,1662380,11770,6258934,560000,1792000,6868023,26551,19487272,963701,1544909,364001,1185478,152870,68347479,13460089,12102619,139400,6093469,116791,74828791,14155285,12414,4085620,14665245,7710,354083,2803030,3170150,3171603,17295298,85219117,35578016,1959566,9777800,2846404,13311,788898,229092,7587622,30681,7580,22130036,50940182,3209648,139038849,5139838,10021519,5990,43571,63954,29251588,5611326,6469,1833000,3335025,21463,2413900,5793555,37488360,122477,14783745,8310473,8752410,6385229,2915,1090513,47025764,3966425,7465,91807,2625511,94071,6443183,557162,45047973,7455,17848320,2875133,18653450,147915,12019708,56314000,50046649,227224681,6318189,2930486,15993783,98139,14767890,10998,53715202,99636,1058021,10800,124043,159042,611463,9132545,5540358,7169968
1981,60308,68264,1069722,13676225,19407036,6321218,2724272,3166098,37825,7408390,33595,28848055,14923260,7564629,6557,363520,252361,934438,54911,9852400,213447,94143135,149207,4132963,5545224,33981811,3564850,9712761,238737,123961522,461945,8869441,192831,4477761,24900000,7079196,4514940,15315491,1723743,29806317,997000718,11175845,17898,9047915,347694,27214894,17576,2357285,2412768,9711975,300202,17646,638047,5121572,344829,73519,5831714,8141078,44196104,3443400,271778,1493318,2639276,4519721,37720093,10297904,4799964,646772,79581,43858,155686,55454695,671374,730836,5073148,11362599,29274,92354,53415,51034,78401830,109166,9729350,6828684,4540361,761931,1388910,5622870,5183400,3543061,4390829,10711848,230803,153464781,64660,699153765,41450823,3801338,56502489,8922474,13703103,117648092,76245,2258368,2253772,16987469,3707318,17674671,58445,38723000,1432188,1551889,15203036,3336978,2951695,2536976,3462341,1912999,5013692,25672,1395176,365400,3197888,8938764,260929,4026204,1708832,11787,6459667,560090,1808103,7011054,26846,19846221,979050,1577646,363652,1249511,157246,69969263,13875214,12367521,142500,6238998,120258,77157665,14257723,13898,4099702,15010859,7852,361170,2898649,3185450,3250841,17754798,90975079,35901961,1998895,9850079,2917159,13408,807056,240793,7619061,32267,7868,22256551,52227598,3238968,139899972,5308986,10654927,6014,43484,64695,30168679,5754459,6577,1839256,3402148,21710,2535368,5828800,37750800,123995,15238102,8320485,9049230,6426096,3000,1107842,47936504,4072967,7791,92329,2719567,96443,6605707,575554,46253234,7560,18177430,2946676,19187724,148134,12295706,56382597,50235677,229465714,6474370,2948127,16400495,99199,15166255,11422,54902677,99853,1074493,11200,139089,160919,631315,9390138,5711497,7429223
1982,61043,68008,1137549,12582762,20033753,6446514,2780097,3218691,39940,7614535,34706,29329880,15161775,7574613,6599,377803,253475,970651,55168,9856303,217129,96185329,153296,4158688,5642224,34642188,3675130,9778781,246927,126890221,478235,8892098,198862,4584912,25201900,7297127,4732876,15514549,1775157,30647148,1012490488,11368918,18518,9282553,355976,27826039,18301,2424367,2477573,9789224,304089,17437,645323,5117810,356156,73813,5968735,8365850,45681811,3480000,285483,1504043,2711444,4479917,39478541,10303704,4826933,658906,82188,44246,160416,55756472,690836,754241,5101213,11638087,28848,92414,53846,51660,78335266,109275,9786480,6982721,4636011,762859,1425876,5740421,5264500,3670043,4413368,10705535,233997,156620140,64580,713710936,43218241,3858421,56532372,9259826,14173318,118454974,77068,2298309,2347640,17660336,3788867,17952187,59351,39326000,1497494,1582429,15404564,3411156,3005595,2552229,3491974,1971475,5048043,26255,1432822,365718,3336396,9195873,270811,4055086,1756032,11662,6668537,562548,1823791,7157684,27160,20198730,992040,1611888,360222,1313598,161899,71640904,14308292,12613458,145000,6389183,123790,79519510,14322414,15307,4114787,15375066,7996,370214,2976076,3216901,3338368,18161256,94096117,36227381,2039504,9859650,2990998,13507,825767,250494,7645035,33621,8670,22356726,53557177,3279001,140821820,5483277,11288809,6047,43375,65282,31140029,5902850,6639,1861252,3472250,21993,2651869,5834498,37983310,125576,15706422,8325260,9386648,6469427,3145,1127317,48827160,4185256,8149,92877,2816600,98238,6734098,593913,47464184,7682,18501390,3018436,19734083,149468,12617664,56330706,50397455,231664458,6637227,2968351,16830106,100476,15620766,11823,56142181,100068,1099174,11900,154547,160736,649807,9657618,5912513,7636524
1983,62019,65620,1209100,12439282,20680982,6575300,2837315,3270153,41627,7906609,35838,29793552,15348066,7552896,6642,392638,254847,1007017,55506,9855520,220857,98234863,156846,4181892,5737434,35325994,3789035,9845174,255347,129821262,494890,8910284,204951,4705196,25456300,7530652,4971162,15637137,1828563,31445744,1028356535,11567646,19086,9562721,364616,28454991,19139,2494353,2543280,9881149,308196,17489,656496,5114297,370117,74286,6105818,8593494,47093025,3504000,299577,1514671,2785984,4526713,40673915,10306888,4855787,671914,84942,44571,165319,55992281,710862,779018,5130925,12437182,28345,92526,54280,52111,78121655,114080,9840526,7188649,4734400,762158,1474659,5862293,5345100,3796140,4430941,10689463,237041,159782359,64501,728521552,44989318,3926893,56623590,9606456,14652218,119269949,77899,2306386,2440682,18348477,3877527,18237081,60253,39910000,1565822,1614072,15603171,3494963,3060240,2569826,3523380,2032367,5081376,26446,1471479,365885,3475276,9463017,285451,4082711,1805004,11560,6883933,565705,1831444,7308233,27497,20679401,1002175,1647586,355773,1376751,166848,73362881,14752622,12862126,146584,6544130,127384,81173975,14374759,16643,4128432,15756853,8147,379144,3043908,3258452,3431924,18566804,96881426,36571418,2080789,9872243,3067596,13605,845006,281831,7670692,35121,10547,22407281,54885412,3316031,141861725,5663174,11952263,6074,43230,65846,32143960,6055544,6748,1878555,3545635,22310,2689263,6010345,38184166,127291,16237967,8329028,9735117,6503035,3418,1148146,49694245,4304082,8524,93421,2917500,100133,6859890,612241,48660621,7823,18803390,3091431,20301757,150903,12974328,56364615,50573066,233791994,6807281,2988825,17271094,101805,16084417,12262,57436347,100348,1134308,12398,165683,160658,672409,9936258,6132709,7928344
1984,62683,64470,1284385,12768664,21340546,6712656,2895998,3322394,42712,8177924,37092,30230644,15510476,7554132,6688,407712,256114,1043396,55853,9855300,224617,100279950,160810,4204488,5834293,36035363,3907047,9914262,264010,132793071,511887,8928271,211223,4816834,25701800,7690581,5025174,15714198,1883981,32341528,1042756050,11761672,20020,9867132,373627,29095455,20109,2567601,2629271,9973301,312486,17743,667970,5111619,374612,73993,6241548,8825829,48550155,3529000,314637,1526128,2862462,4593745,40072730,10309224,4881788,685572,87784,45063,170274,56312924,741062,805260,5161724,13131315,28231,92738,54718,52625,77855422,117296,9887169,7380338,4953578,762073,1524537,5988980,5397900,3932993,4441854,10668095,239498,162939884,64422,744016969,46792080,3997337,56687144,9963431,15160546,120034697,78740,2313059,2534384,19050801,3969460,18529951,61147,40406000,1637314,1647074,15802751,3576706,3115437,2587996,3555054,2095774,5114080,26597,1511106,366272,3613956,9740535,298982,4113243,1855693,11442,7104352,558389,1837295,7463153,27837,21160790,1012042,1684770,351379,1438115,172102,75080138,15197923,13083602,149655,6704046,131033,82732004,14433533,17979,4140095,16155062,8329,387024,3114238,3298090,3530545,18970733,99354344,36904134,2123462,9885387,3146895,13705,864775,312375,7695799,36648,12790,22453788,56257879,3350037,142922263,5833736,12606940,6111,43088,66499,33181594,6213697,7488,1896413,3622544,22501,2743297,6217738,38362861,129118,16860414,8342621,10094941,6532311,3681,1168881,50533778,4430622,8911,93792,3021789,102116,7184530,630536,49839742,7981,19083348,3164611,20886728,152274,13384354,56435179,50769375,235824902,6985039,3008270,17729265,102894,16544524,12726,58762040,100600,1169498,12806,172397,160664,696337,10229272,6339559,8241214
1985,61511,64398,1363482,13119943,22008450,6845030,2956697,3373532,44596,8389886,38633,30671759,15695238,7559776,6967,423224,257247,1079692,56181,9858200,228198,102308352,165558,4226764,5934935,36765870,4030484,9981744,272932,135733183,529200,8943573,217836,4921763,25941600,7841242,5066042,15847023,1941765,33347628,1058007717,11952148,20846,10191372,382820,29747620,21386,2644306,2714154,10064672,316887,17493,679224,5113691,382218,73109,6378551,9061664,50052381,3540000,325194,1538224,2941480,4671054,40683742,10310162,4901783,698942,90631,45574,175409,56560972,772519,833036,5192957,13572481,28645,93059,55159,53150,77684907,120615,9923253,7580844,5226741,762245,1576361,6119917,5456200,4077312,4457874,10648713,241403,166069318,64342,759612212,48618939,4068470,56718115,10331684,15693620,120754335,79589,2318176,2630359,19762320,4061575,18830679,62034,40806000,1732824,1682293,15998854,3657169,3170960,2606405,3587032,2161750,5144632,26879,1551635,367169,3660030,10028632,305843,4148172,1907701,11323,7330006,560562,1844740,7622944,28181,21643785,1020544,1723466,347039,1497225,177297,76767225,15649109,13293047,152587,6869209,134730,84897577,14504372,19315,4152419,16569979,8517,394467,3180138,3323811,3633464,19379177,102078649,37225792,2167617,9897192,3228928,13804,885063,342378,7719700,38240,15392,22521195,57705685,3382106,143937997,5986589,13330067,6159,42931,67175,34254092,6378411,7941,1914220,3703092,22589,2749897,6458539,38534853,131006,17506721,8356337,10466137,6567071,3933,1189032,51341809,4568802,9316,94380,3129427,104186,7363698,648798,50997013,8156,19337363,3240472,21484003,153684,13810985,56584077,50944248,237923795,7170932,3018871,18215415,103853,16997509,13183,60093068,100760,1204172,13001,179327,160737,721571,10539928,6535429,8560488
1986,59804,64402,1446574,13125920,22642538,6970134,3015438,3421978,46476,8624046,40164,31144993,15900415,7568242,7246,439410,258265,1115756,56514,9861800,231427,104345431,171241,4247288,6041350,37517679,4157854,10044184,282121,138567223,546811,8958770,224731,5018860,26203800,8101420,5214200,16069843,2002137,34385929,1074522563,12144931,21438,10530147,392061,30410385,23026,2723378,2775360,10142672,321341,17645,690425,5120534,396506,72379,6516820,9301083,51593433,3540500,333651,1550072,2942219,4758322,41642553,10308836,4917386,712989,94151,46054,180635,56799537,805303,859448,5218973,14142708,29071,93554,58440,53636,77713485,122880,9951370,7819999,5394334,763376,1630382,6253861,5524600,4226919,4471752,10630563,242999,169155944,64531,775063241,50464352,4139683,56717458,10712062,16247340,121491913,80448,2322553,2727504,20478459,4156285,19137450,63772,41214000,1809382,1717241,16193001,3761769,3225579,2626695,3619593,2230380,5172084,27238,1586595,369019,3680901,10327391,312196,4183283,1960796,11205,7608551,564558,1850679,7788079,28530,22127436,1028233,1763680,346625,1554393,184612,78442430,16111169,13432713,155578,7039813,138477,87100963,14585132,20894,4166596,17002212,8708,400143,3248094,3340633,3739904,19798248,105239621,37504275,2212156,9907411,3313754,13963,905930,371995,7739838,39903,18337,22599678,59185949,3413303,144966550,6161714,13998295,6208,42729,67838,35101383,6549785,8310,1932129,3787392,22771,2750069,6714927,38707556,132714,18177803,8384069,10848571,6607178,4173,1208327,52129476,4715514,9733,94892,3240720,106345,7546995,667029,52127339,8347,19555581,3323673,22105671,153308,14271109,56750920,51095072,240132887,7371099,3032257,18717630,104763,17450161,13631,61439826,100842,1240345,13274,186478,160859,749420,10869580,6757156,8876783
1987,59177,64418,1530444,13056450,23254956,7098945,3075321,3468857,47671,8824466,41876,31624620,16136716,7578903,7533,455777,259124,1152012,56831,9870200,234482,106381942,176353,4266650,6156369,38287662,4287908,10097446,291544,141352474,564715,8971958,231818,5144519,26549700,8403953,5391517,16287539,2064973,35504145,1093725712,12344445,22072,10867102,401425,31085303,25400,2799340,2840877,10214148,325869,17670,701618,5127024,409458,71815,6656963,9545158,52375100,3539900,342469,1562224,2902790,4850135,43058596,10311597,4931729,719671,97727,46683,185827,57066371,839453,880916,5239970,14497722,29528,94064,59441,54095,77718298,125724,9974490,8159885,5528408,764964,1691210,6389669,5584510,4373262,4484310,10612740,244676,172231273,65450,790640434,52340187,4210377,56710054,11105274,16543189,122091325,81279,2325869,2823895,21197835,4253647,19448685,65588,41622000,1887220,1753440,16394711,3869313,3277980,2648965,3653339,2301756,5199318,27546,1615692,371660,3775716,10636882,322983,4216682,2015133,11087,8052735,569473,1856378,7958962,28883,22610591,1036272,1805394,349047,1611672,192207,80122492,16578904,13229589,158733,7215959,142274,89419315,14678769,22790,4186147,17452690,8905,403912,3322384,3352493,3849890,20227047,108584077,37740710,2256735,9915289,3401467,14264,927409,386764,7755900,41636,21628,22686371,60648112,3444468,145958907,6372803,14619745,6249,42477,68460,35947696,6727841,6544,1945870,3875583,22957,2794552,6939075,38880702,134180,18874610,8421403,11242966,6654625,4402,1224989,52910342,4864637,10163,95347,3355920,108595,7727686,685227,53242665,8549,19757799,3410704,22788161,151458,14811287,56927038,51218101,242288918,7591809,3044980,19219173,105495,17910182,14099,62826491,100901,1278282,13297,193847,161096,777590,11219340,6985531,9216479
1988,59499,64427,1622747,13168732,23917674,7233154,3136843,3515614,49365,9032913,43623,32099320,16400734,7599791,7820,471975,259953,1188941,57166,9884000,237708,108374517,181396,4285510,6283164,39025324,4422114,10149612,301178,144096245,582886,8982025,238878,5278835,26894800,8716411,5556341,16480228,2130061,36669267,1112866405,12554615,24500,11200976,410930,31770867,29053,2874123,2917175,10301686,330500,17909,713026,5129516,417145,71338,6798773,9794122,53162212,3529600,351649,1569187,2949377,4938989,44596107,10313782,4946633,726371,101343,47090,191159,57335273,875080,899743,5320248,14850715,30027,94286,60484,54853,78030572,127545,9982723,8495815,5666825,766552,1758345,6518775,5628407,4514984,4493676,10442500,249885,175334751,66538,806379398,54178259,4282043,56711103,11511744,17040559,122613000,82083,2329431,2920782,21918734,4333005,19768912,67476,42031000,1966721,1790565,16530068,3979884,3327778,2664068,3673950,2375947,5223222,27825,1644841,375624,3883238,10957343,332136,4289659,2070723,10969,8586617,574401,1858920,8131534,29241,23086484,1044942,1848504,351951,1670760,200075,81781816,17055114,12903657,161942,7399129,146117,91789436,14774965,24475,4208729,17922080,9100,407914,3403564,3361313,3963437,20664916,112021093,37866840,2301676,9920611,3492134,14572,949542,401964,7768886,43446,24873,22768897,62080710,3474992,146865701,6597216,15233131,6282,42191,69195,36794884,6912574,6588,1961775,3967779,23040,2869266,6918288,39053881,135495,19598127,8469339,11646012,6709508,4623,1238380,53683427,5005734,10610,95703,3475139,110939,7897828,703394,54355531,8755,19976096,3492186,23477486,149260,15397260,57095731,51422963,244498982,7833491,3057630,19624686,106138,18378534,14615,64211347,100952,1332831,13357,201427,161516,814990,11591069,7194863,9560047
1989,60687,64385,1722063,13502720,24561722,7393439,3195800,3325992,50516,9250352,45384,32571624,16680597,7627861,8113,488626,261092,1226517,57485,9937697,241244,110316231,186433,4301804,6423135,39734461,4561161,10184084,311037,146797954,599611,8990055,245853,5404366,27379300,9038142,5714913,16687488,2197165,37872107,1130729412,12774248,25072,11540121,420594,32460845,35294,2949892,2999869,10402705,335166,18151,726864,5132593,442446,70509,6941869,10048223,53948411,3513200,361192,1570926,3041289,5024777,46093687,10314343,4962441,733034,104976,47279,195765,57905275,912247,918835,5398106,15201278,30418,94303,61544,55408,78644914,130947,10030765,8730575,5809689,768596,1821675,6652691,5660721,4656018,4501397,10397959,252746,178463522,67644,822218830,55926671,4355345,56711329,11930647,17572536,123107500,82860,2336663,3023501,22638926,4402443,20102936,69393,42449000,2048192,1826508,16625996,4093568,3374475,2667309,3681250,2452970,5244662,28074,1674022,377621,3990977,11289164,341237,4359496,2160597,10849,9090825,578981,1863007,8313685,29604,23549802,1053403,1885828,355323,1731785,208203,83366836,17471980,12856244,165120,7602298,149999,94212719,14862677,26780,4226142,18410932,9295,412929,3492060,3377543,4080563,21111159,115419215,37970155,2347202,9923147,3585878,14886,972389,417647,7779554,44642,27676,22852123,63554672,3505600,147351694,6816864,15829361,6307,41916,70014,37639331,7127287,6634,1976217,4064153,23188,2957752,6766331,39214523,136499,20349378,8526276,12052938,6769778,4834,1248162,54445689,5148306,11060,95992,3597137,113383,8054911,721528,55462482,8963,20207541,3572311,24137855,146940,15985653,57251270,51501478,246819230,8091541,3071177,20033271,106749,18850722,15143,65868481,101041,1408635,13417,209263,162102,849298,11986392,7396712,9868200
1990,63032,64162,1826250,13568282,25190449,7497290,3244925,3376783,52747,9485357,47199,33035578,16956242,7722953,8411,505672,262264,1264612,57781,9969310,245126,112212570,190865,4314951,6573900,40463612,4705442,10200432,321133,149409483,614744,8894028,252887,5535635,27790600,9367516,5841411,16861677,2266001,39151065,1148364470,13007851,26355,11884495,430431,33147250,44037,3023272,3084970,10506650,339756,18394,745055,5140954,499189,70009,7083623,10318036,54907377,3508200,371100,1569322,3137919,5109818,47554116,10309514,4986431,739619,108600,47439,199525,58255473,951025,938084,5426207,15548811,29110,94204,62623,55628,79380394,134125,10129603,8965553,6118452,771529,1898674,6797935,5687959,4794025,4508347,10371878,254719,181599235,68766,838158831,58100095,4477808,56713409,12490877,18139958,123537399,83609,2347015,3266558,23360942,4483248,20451478,71294,42869000,2131160,1861687,16775025,4210452,3440179,2663590,3694836,2138591,5262616,28796,1703257,382966,4098435,11632868,351756,4374000,2217539,10728,9545999,583202,1861361,8486853,29972,23999967,1061598,1924978,359107,1794377,216606,84913652,17882218,12989180,168903,7825471,153866,96690314,14965871,29286,4242006,18918256,9488,416080,3643561,3413677,4200491,21564996,118816188,38119408,2393441,9922689,3682825,15207,995989,433409,7786397,45828,30036,22865945,65087720,3536910,147972865,6999318,16060761,6322,41659,70800,38476273,7347606,6681,1991210,4228201,23469,3047100,6692038,39350769,137561,21129427,8600815,12500003,6843505,5047,1255189,55196722,5272333,11514,96239,3720792,115933,8207004,739630,56560676,9171,20278248,3658462,24804769,145401,16548955,57410719,51621524,249622814,8361039,3085115,20530144,107385,19325222,15691,67258111,103963,1470569,13476,217373,162834,881603,12416080,7603379,10156044
1991,66304,64025,1936688,13671918,25825978,7601153,3181048,3437479,56475,9739724,48569,33504409,17202125,7818423,8702,522518,263336,1303104,58095,10004487,249308,113910676,195745,4328421,6731484,41180558,4855063,10205137,331470,151944196,625045,8772368,259254,5674376,28117900,9706809,6028221,17003368,2337401,40514176,1163610388,13250594,27514,12230299,440471,33832213,46555,3093015,3174488,10602538,346826,18640,766231,5154352,551981,70121,7224795,10429924,55861653,3530771,381377,1559547,3114642,5196237,49447575,10305158,5013786,746167,111689,47571,203260,58604822,991493,960425,5420156,15892340,28103,94060,61289,55539,79984244,138159,10250880,9213253,6552474,770528,1998975,6929826,5752000,4933227,4540641,10397808,256831,184751080,69879,853724391,60496425,4649340,56714708,13039524,17477375,123962538,84233,2357719,3634825,24132867,4547919,20812556,72660,43339909,940940,1897630,16902211,4330626,3506130,2651308,3702136,1814705,5281610,29288,1732498,387152,4205118,11988712,363858,4380536,2270382,10606,9930808,590872,1867710,8673154,30159,24433716,1071723,1973430,362579,1866066,227218,86488032,18376069,13207757,173326,8057147,157693,99221845,15081173,31202,4261733,19448325,9665,417519,3838878,3455200,4322340,22025564,122248178,38253222,2440754,9919009,3783089,15604,1020216,448595,7751781,46853,31821,22825559,66572226,3562110,148298981,7143743,16305774,6333,41408,71649,39299521,7553972,6730,1999480,4334898,23774,3152032,6464481,39461418,139171,21939378,8668112,12933133,6925077,5273,1260387,55939393,5407166,12140,96474,3846054,118598,8361038,763770,57650232,9377,20492092,3745234,25503557,144424,17125765,57573614,51728481,252980941,8642245,3098710,21058973,107962,19790679,16268,68638265,104807,1511991,13588,225749,163692,922469,12882420,7817776,10437423
